#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"CAN'T SAY","Travis Scott",80,148,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,03:18,70,71,20,0,71,0,10,-5,A#/B♭ Minor,4,2024-01-27,27a1mYSG5tYg7dmEjWBcmL,"Cactus Jack / Epic",3A,https://p.scdn.co/mp3-preview/4b3564ac8a8363c105fbc651062e2a466076c69c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
2,"New Gold (feat. Tame Impala and Bootie Brown)","Gorillaz,Tame Impala,Bootie Brown",71,108,"alternative hip hop, modern rock, rock, australian psych, neo-psychedelic, ","Hip Hop, Metal, Rock, Folk/Acoustic","Cracker Island",2023-02-24,03:35,70,92,4,5,55,0,10,-4,C♯/D♭ Minor,3,2024-01-27,60SvhHtwefT0e2G7i7kOH3,"Parlophone UK",12A,https://p.scdn.co/mp3-preview/4740cf77950ce638656b3e350b13a1c6e91a1580?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
3,"1AM FREESTYLE","Joji",68,126,"viral pop","Pop","SMITHEREENS",2022-11-04,01:53,62,54,75,0,12,0,10,-6,C Minor,4,2024-01-27,0FqBNLXlTNimxmVRdDMj6b,"88rising Music/Warner Records",5A,https://p.scdn.co/mp3-preview/825a99462cd12783e6d9426ea73115326bc86fee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eaac2a7955f5b8967991cacb
4,"20 Min","Lil Uzi Vert",84,123,"hip hop, melodic rap, philly rap, rage rap, rap","Hip Hop","Luv Is Rage 2 (Deluxe)",2017-11-17,03:40,77,75,11,0,78,10,10,-4,G#/A♭ Minor,4,2024-01-27,0uxSUdBrJy9Un0EYoBowng,"Generation Now/Atlantic",1A,https://p.scdn.co/mp3-preview/3dd55d0ccc147f9a655048af71275a345ad54c7f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510d5a84e4e47399d2726c330c
5,"The Less I Know The Better","Tame Impala",88,117,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","Currents",2015-07-17,03:36,64,74,1,1,79,0,10,-4,E Major,4,2024-01-27,6K4t31amVTZDgR3sKmwUJJ,"Universal Music Australia Pty. Ltd.",12B,,https://i.scdn.co/image/ab67616d000048519e1cfc756886ac782e363d79
6,"HIGHEST IN THE ROOM","Travis Scott",86,76,"hip hop, rap, slap house","Hip Hop, Electronic","HIGHEST IN THE ROOM",2019-10-04,02:55,60,43,5,0,6,0,20,-9,G Minor,4,2024-01-27,3eekarcy7kvN4yt5ZFzltW,"Cactus Jack/Epic",6A,https://p.scdn.co/mp3-preview/387b31c31b72f0c16e33d0c78bab869b0a0f4eb3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e42b5fea4ac4c3d6328b622b
7,"Jesus Freak Lighter","Blood Orange",53,113,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis","R&B, Pop, Electronic","Jesus Freak Lighter",2022-09-08,02:32,64,92,20,84,14,0,10,-10,C♯/D♭ Major,4,2024-01-27,22MPIMPsoi0vd46wsbpzfE,"Not specified",3B,https://p.scdn.co/mp3-preview/60caddb7fc9e0a4d5ebc5a224ee7dc6702352a02?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514d5caf410f05c73301e83a63
8,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert,Oh Wonder",82,82,"hip hop, melodic rap, philly rap, rage rap, rap, electropop, indie poptimism, pov: indie","Pop, Hip Hop","Luv Is Rage 2",2017-08-25,03:41,70,76,62,0,70,0,10,-4,C♯/D♭ Major,4,2024-01-27,2eAZfqOm4EnOF9VvN50Tyc,"Generation Now/Atlantic",3B,https://p.scdn.co/mp3-preview/80d5a005febd46fdf05e905fc18437bd7388075d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485141b41e6f7924e530a9b00f9c
9,"Lost In Yesterday","Tame Impala",70,183,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","The Slow Rush",2020-02-14,04:09,57,84,3,0,75,10,10,-4,C♯/D♭ Major,3,2024-01-27,5JWPUEov2wlX7c0jhYZpeB,"Universal Music Australia Pty. Ltd.",3B,,https://i.scdn.co/image/ab67616d0000485158267bd34420a00d5cf83a49
10,"Crew (feat. Brent Faiyaz & Shy Glizzy)","GoldLink,Brent Faiyaz,Shy Glizzy",80,130,"alternative r&b, r&b, rap, drill, memphis hip hop, trap","R&B, Hip Hop","At What Cost",2017-03-24,02:56,73,61,13,0,45,10,0,-8,C♯/D♭ Minor,4,2024-01-27,15EPc80XuFrb2LmOzGjuRg,"Squaaash Club/RCA Records",12A,https://p.scdn.co/mp3-preview/43bbfb0a4ff1ce6999b044d67d513aac7273e5ee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517bcd3cd54e8399ae38cc6e64
11,"Tormenta (feat. Bad Bunny)","Gorillaz,Bad Bunny",73,95,"alternative hip hop, modern rock, rock, reggaeton, trap latino, urbano latino","Hip Hop, Rock, Latin","Cracker Island",2023-02-24,03:13,64,77,46,0,30,0,30,-6,C Major,4,2024-01-27,38UYeBLfvpnDSG9GznZdnL,"Parlophone UK",8B,https://p.scdn.co/mp3-preview/3f89a1c3ec527e23fdefdd03da7797b83eb6e14f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
12,"Rebuke","KAYTRAMINÉ,Aminé,KAYTRANADA",63,87,"pop rap, portland hip hop, rap, underground hip hop, alternative r&b, escape room, indie soul, lgbtq+ hip hop","R&B, Pop, Hip Hop","KAYTRAMINÉ",2023-05-19,01:58,65,56,19,0,56,0,10,-7,A Minor,4,2024-01-27,4doxCAkqckpGTasPN6ByUu,"CLBN LLC & Kaytranada Music & Publishing, Inc. under exclusive license to Venice Music",8A,https://p.scdn.co/mp3-preview/8bd9f3e1ebded402869d34401087ac1699f68b28?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d62081338362c43d9b2451ed
13,"90210 (feat. Kacy Hill)","Travis Scott,Kacy Hill",84,81,"hip hop, rap, slap house, la pop, modern alternative pop","Hip Hop, Pop, Electronic","Rodeo",2015-09-04,05:39,40,53,11,0,31,0,10,-7,A Minor,4,2024-01-27,51EC3I1nQXpec4gDk0mQyP,"Cactus Jack / Epic",8A,https://p.scdn.co/mp3-preview/c357bde24bdd21336d2c218f4331909bc3a458ea?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851715973050587fe3c93033aad
14,"You're Not Good Enough","Blood Orange",58,120,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis","R&B, Pop, Electronic","Cupid Deluxe",2013-11-18,04:21,74,80,19,0,57,10,30,-7,C Major,4,2024-01-27,7vcNp4cj4uF4AyX5aKY4Ps,"Domino Recording Co",8B,https://p.scdn.co/mp3-preview/4a8d94ad4dfb0fb23dfdf371df8923e0b67a4621?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519d6bd2afa2987a69b7b55f72
15,"Cracker Island (feat. Thundercat)","Gorillaz,Thundercat",64,120,"alternative hip hop, modern rock, rock, afrofuturism, indie soul","R&B, Hip Hop, Rock","Cracker Island",2023-02-24,03:33,74,91,0,10,64,0,30,-3,D Minor,4,2024-01-27,4J3I4jpAtNjsclcs99jzeF,"Parlophone UK",7A,https://p.scdn.co/mp3-preview/55826ae2afabe7ab78057c87030f86e154759a20?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
16,"REEL IT IN","Aminé",76,129,"pop rap, portland hip hop, rap, underground hip hop","Hip Hop","ONEPOINTFIVE",2018-08-15,02:01,75,34,7,0,42,10,10,-9,A#/B♭ Minor,4,2024-01-27,5qHirGR7M9tdm6C17DlzSY,"Republic Records",3A,,https://i.scdn.co/image/ab67616d00004851a52fb68f00620e45ed7467c5
17,"I KNOW ?","Travis Scott",92,118,"hip hop, rap, slap house","Hip Hop, Electronic","UTOPIA",2023-07-28,03:31,93,62,2,0,82,0,10,-4,F Minor,4,2024-01-27,6wsqVwoiVH2kde4k4KKAFU,"Cactus Jack/Epic",4A,https://p.scdn.co/mp3-preview/71d86e04987feee653ae3087aa76e782bced382d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851881d8d8378cd01099babcd44
18,"The Bay","Metronomy",67,121,"alternative dance, electronica, french indie pop, indietronica, neo-synthpop, new rave, socal pop punk","Rock, Electronic, Pop","The English Riviera",2011-04-11,04:50,80,47,59,9,89,0,0,-7,F#/G♭ Minor,4,2024-01-27,2akjLHnHjDGsgqxuf48VYs,"Because Music Ltd.",11A,https://p.scdn.co/mp3-preview/6da359dfe1178dc492c3ac12a7d32af533d54622?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518ca7d89456553e4bbbf3c981
19,"Hell N Back","Bakar",76,210,"uk alternative hip hop","Hip Hop","Hell N Back (Sped Up)",2019-08-14,03:33,63,68,31,0,73,50,10,-4,A#/B♭ Minor,4,2024-01-27,0rVJ6v23RQozOIvr1YotJP,"Black Butter",3A,https://p.scdn.co/mp3-preview/16f7a5ee995c64abdfe74578a0abf6e37c5129ee?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ee73eb16af247a0ea057542
20,"Around the World","Red Hot Chili Peppers",74,97,"alternative rock, funk metal, funk rock, permanent wave, rock","Rock, Metal","Californication (Deluxe Edition)",1999-06-08,03:58,50,96,0,57,77,10,0,-1,C Major,4,2024-01-27,0aGQHMr7bc23Y9Ts84ffop,"Warner Records",8B,https://p.scdn.co/mp3-preview/4b4818a1896e335c07619145ac8cefad57d79e9b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485194d08ab63e57b0cae74e8595
21,"The Tired Influencer","Gorillaz",54,134,"alternative hip hop, modern rock, rock","Hip Hop, Rock","Cracker Island",2023-02-24,03:31,68,82,0,5,65,0,10,-6,G Major,4,2024-01-27,1Wld681KIdy5ZosdDb5bfz,"Parlophone UK",9B,https://p.scdn.co/mp3-preview/a5e0c096850b9fce2b12563529a50122f96527bc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
22,"Impossible","Travis Scott",68,148,"hip hop, rap, slap house","Hip Hop, Electronic","Rodeo",2015-09-04,04:02,51,46,40,0,28,10,60,-9,D#/E♭ Minor,4,2024-01-27,0IabpxMpUV7waD7U4uDIMJ,"Cactus Jack / Epic",2A,https://p.scdn.co/mp3-preview/814ca418d553facfc1889046dce0ba81004d9318?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851715973050587fe3c93033aad
23,"Out Of Your League","Blood Orange,Steve Lacy",56,121,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis, afrofuturism","R&B, Pop, Electronic","Negro Swan",2018-08-24,02:20,90,47,10,0,68,0,10,-7,D Minor,4,2024-01-27,4qdbCACEpbFWIpKSMa2fZC,"Domino Recording Co",7A,https://p.scdn.co/mp3-preview/dac7bec071857daf0825625c2067f08d3200067c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485147dd2ca47ec9bf14559e17c6
24,"Hold My Head","Kenny Beats",57,144,"indie hip hop, trap, underground hip hop","Hip Hop","LOUIE",2022-08-31,01:46,63,79,0,0,55,10,60,-6,F Minor,4,2024-01-27,4eSZUNz2flCKs7zESV50kW,"XL Recordings",4A,https://p.scdn.co/mp3-preview/43d34ae396c0bd852e1dfc1517431b352670ecac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515c2bbb4d4a66a70310705a26
25,"Oil (feat. Stevie Nicks)","Gorillaz,Stevie Nicks",62,127,"alternative hip hop, modern rock, rock, heartland rock","Hip Hop, Rock","Cracker Island",2023-02-24,03:50,63,94,0,0,35,0,10,-4,F Major,4,2024-01-27,36MGfjOTOwx1udRX5dDnoJ,"Parlophone UK",7B,https://p.scdn.co/mp3-preview/b731d1a3e5d2b88c9af0087150c642ac83b4205f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
26,"YUKON (INTERLUDE)","Joji",69,82,"viral pop","Pop","SMITHEREENS",2022-11-04,02:21,74,71,38,4,7,0,40,-8,F#/G♭ Minor,4,2024-01-27,5IPl8JpkbtSH1mdyq5ctSx,"88rising Music/Warner Records",11A,https://p.scdn.co/mp3-preview/225582d2a301ec49821a4982fa8ddcc96c59370f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eaac2a7955f5b8967991cacb
27,"Orlando","Blood Orange",54,144,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis","R&B, Pop, Electronic","Negro Swan",2018-08-24,03:02,76,53,55,8,65,10,40,-11,C♯/D♭ Minor,3,2024-01-27,1H8BKN1WYV6AW1kghI3ldP,"Domino Recording Co",12A,https://p.scdn.co/mp3-preview/4165aa34771d942d141b7b4f183a08375d4b9ee3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485147dd2ca47ec9bf14559e17c6
28,"Doin' it Right (feat. Panda Bear)","Daft Punk,Panda Bear",63,178,"electro, filter house, rock, art pop, chamber pop, chillwave, dream pop, experimental pop, indie rock, indietronica, neo-synthpop, noise pop","Pop, Rock, Hip Hop, Electronic","Random Access Memories",2013-05-20,04:11,80,45,39,0,19,0,0,-8,F#/G♭ Major,4,2024-01-27,36c4JohayB9qd64eidQMBi,"Columbia",2B,https://p.scdn.co/mp3-preview/4e817f1f2c76c12939f5890e21b39390e33c81b2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b9b36b0e22870b9f542d937
29,"Phone Numbers","Dominic Fike,Kenny Beats",75,85,"alternative pop rock, pov: indie, indie hip hop, trap, underground hip hop","Rock, Hip Hop, Pop","Phone Numbers",2019-07-04,02:26,88,54,24,0,78,20,0,-6,C♯/D♭ Minor,4,2024-01-27,3f9Mzvd3URfbbIJBX4pz9Z,"Columbia",12A,https://p.scdn.co/mp3-preview/d4ca18382d041d37fda23ba1f4e501d578b55a03?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511047fa3fb0151cf803d9c696
30,"Breathe","88rising,Joji,Don Krez",57,113,"asian american hip hop, viral pop, ","Hip Hop, Pop","Head In The Clouds II",2019-10-11,02:05,54,52,59,1,8,0,30,-10,G Major,3,2024-01-27,1WI8MH3HPGjzpU0ywLahwt,"88rising Music/Warner Records",9B,,https://i.scdn.co/image/ab67616d00004851488df3d22b1f5c0ea15b686a
31,"Int'l Players Anthem (I Choose You)","UGK,Outkast",43,156,"dirty south rap, atl hip hop, hip hop, old school atlanta hip hop, rap, southern hip hop","Hip Hop","UGK (Underground Kingz)",2006-12-18,04:19,68,68,7,0,85,20,30,-5,E Minor,4,2024-01-27,0DgY053iwPDydoRymeGVZX,"Jive",9A,https://p.scdn.co/mp3-preview/d0cab0e7613fd3df7e300dbf6dece28b1a4ee353?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518859ca2e1cf166dc46b030d0
32,"Feelin' Lovely","Devonté Hynes,Connan Mockasin",48,90,"experimental r&b, experimental pop, kiwi rock, neo-psychedelic","Pop, R&B, Rock, Folk/Acoustic","Myths 001",2015-10-30,03:51,72,76,35,0,70,0,0,-6,D Minor,4,2024-01-27,54Ce8Gs58AF80COXWuSGHy,"Mexican Summer",7A,https://p.scdn.co/mp3-preview/565c82d43199ddd3cf2e4e71b17a5c189810b10d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512d0ea8f21ed08234ed3f30e5
33,"Black Summer","Red Hot Chili Peppers",61,106,"alternative rock, funk metal, funk rock, permanent wave, rock","Rock, Metal","Unlimited Love",2022-04-01,03:52,42,68,3,0,35,0,10,-5,C♯/D♭ Major,4,2024-01-27,2a5cbTg2UIi784t9E2wT35,"Warner Records",3B,https://p.scdn.co/mp3-preview/3b740cdd98d33dc6eaea9f4d7589f558abe19302?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485197a52e0aeda9d95fb881c56d
34,"pick up the phone","Young Thug,Travis Scott",74,137,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap, hip hop, slap house","Hip Hop, Electronic","pick up the phone",2016-06-03,04:12,71,72,12,0,46,0,30,-4,G Minor,4,2024-01-27,4GXl8l1MfZPf2GvpyRPJBf,"Cactus Jack / Epic",6A,https://p.scdn.co/mp3-preview/d223ae8dead78bea2a036a2e5b3bfac9e1dcd885?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516f90c4dc2e8599829dae3848
35,"The Look","Metronomy",78,85,"alternative dance, electronica, french indie pop, indietronica, neo-synthpop, new rave, socal pop punk","Rock, Electronic, Pop","The English Riviera",2011-04-11,04:37,64,54,62,4,50,0,0,-8,A Minor,4,2024-01-27,6zfczP87XO2SxWlQtnjFNa,"Because Music Ltd.",8A,https://p.scdn.co/mp3-preview/c4f511e243af4748406a0f9f0ed48891ad2ae4d1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518ca7d89456553e4bbbf3c981
36,"Silent Running (feat. Adeleye Omotayo)","Gorillaz,Adeleye Omotayo",66,107,"alternative hip hop, modern rock, rock, ","Hip Hop, Rock","Cracker Island",2023-02-24,04:26,66,90,6,0,78,0,10,-4,G#/A♭ Major,4,2024-01-27,0ZGWe02EtMpw40QAzOVZD1,"Parlophone UK",4B,https://p.scdn.co/mp3-preview/3bd975bfcf60c5509c623795f3e04b15bf7303d0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
37,"LVL","A$AP Rocky",72,120,"east coast hip hop, hip hop, rap, trap","Hip Hop","LONG.LIVE.A$AP (Deluxe Version)",2013-00-00,03:40,60,43,18,0,10,0,10,-7,F Minor,4,2024-01-27,787rCZF9i4L1cXGMkdyIk4,"A$AP Worldwide/Polo Grounds Music/RCA Records",4A,https://p.scdn.co/mp3-preview/74fdd12080e81933d95e30bb345305f1c6e826d5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512ae92030b51fb8135d694af9
38,"lose","Travis Scott",63,126,"hip hop, rap, slap house","Hip Hop, Electronic","Birds In The Trap Sing McKnight",2016-09-16,03:20,83,56,31,0,28,0,10,-4,G Minor,4,2024-01-27,2AGUFka8kBWCM47h5uTlDb,"Cactus Jack / Epic",6A,https://p.scdn.co/mp3-preview/eafb3d1350e3ea5ce1086b1b596fd700053cdbc7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f54b99bf27cda88f4a7403ce
39,"It Is Not Meant To Be","Tame Impala",57,102,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","InnerSpeaker",2010-05-21,05:21,43,90,1,0,46,0,40,-5,C Major,4,2024-01-27,3Yub3anoLj8w58TVpEXUJv,"Universal Music Australia Pty. Ltd.",8B,,https://i.scdn.co/image/ab67616d00004851176e82d09ac75d62810f0056
40,"Skinny Ape","Gorillaz",57,180,"alternative hip hop, modern rock, rock","Hip Hop, Rock","Cracker Island",2023-02-24,04:41,47,87,2,1,58,10,10,-3,G Major,4,2024-01-27,67BbnzIuXFd5knDLwB3mkN,"Parlophone UK",9B,https://p.scdn.co/mp3-preview/49d012fd6de69a542c0670904909600d73797f3c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
41,"Leather Jacket","HYUKOH",39,90,"korean indie folk, korean r&b","Folk/Acoustic, R&B","23",2017-04-24,03:42,53,88,1,0,74,0,10,-5,A Major,4,2024-01-27,2Pmsnc5Zy9K3RWHEXb7qNK,"DOOROODOOROO ARTIST COMPANY",11B,https://p.scdn.co/mp3-preview/2d5fe9de9a42b87d4521aa872bdaf6cd99d20b4c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b0b72f94905f2321564a20f
42,"Undertow","Dan Auerbach",47,93,"modern blues rock","Rock","Waiting on a Song",2017-06-02,03:23,43,73,4,29,70,0,40,-5,G Minor,4,2024-01-27,2Zv95uoSB1H4puVfAYbovF,"Nonesuch",6A,https://p.scdn.co/mp3-preview/7007d6aea795fbfa60f11edc2f117f44b548ea6d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b2d7362dc639856d9d046205
43,"The High Road","Broken Bells",68,80,"chamber pop, indie rock, indietronica, la indie, modern rock","Pop, Rock","Broken Bells",2010-03-01,03:52,61,64,7,0,60,0,20,-7,C Major,4,2024-01-27,5cwN1htZyoWqZCc33f3RfE,"Columbia",8B,https://p.scdn.co/mp3-preview/77a6780ba4f3e73b6ba6399c386bd551905a10f6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e198b6b9c5bfe013458e8ec9
44,"Tarantula","Gorillaz",57,125,"alternative hip hop, modern rock, rock","Hip Hop, Rock","Cracker Island",2023-02-24,03:31,68,91,1,0,79,0,0,-3,C Major,4,2024-01-27,0rnGYYBw32ALUIiuEgwv2c,"Parlophone UK",8B,https://p.scdn.co/mp3-preview/af9b0f5b63116ec4a427dd8310264b2a4fb8775c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
45,"Something You Know","Blood Orange",49,110,"alternative r&b, art pop, escape room, indie soul, indietronica, metropopolis","R&B, Pop, Electronic","Four Songs",2022-09-16,02:45,71,41,9,35,26,0,30,-13,B Minor,4,2024-01-27,2ncuOb03YO4YfMYNvyKnXk,"Domino Recording Co./RCA Records",10A,https://p.scdn.co/mp3-preview/17db9ede5a67648ae5e1187dc55bfd769ded3553?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518cc5619fc149077a17d772ad
46,"Techno Show","Peach Pit",59,89,"pov: indie, vancouver indie","Pop, Rock","Being So Normal",2018-06-28,03:46,61,72,12,43,90,0,10,-8,C♯/D♭ Minor,4,2024-01-27,0a0EYuSVqeVqV8kjN9bFYC,"Columbia",12A,https://p.scdn.co/mp3-preview/a56d95fbaa7c3694c962c0d4445366b314a41155?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485100b39b4a73d28536690b355c
47,"Antidote","Travis Scott",77,131,"hip hop, rap, slap house","Hip Hop, Electronic","Rodeo",2015-09-04,04:22,71,53,1,0,13,0,10,-5,C♯/D♭ Major,4,2024-01-27,1wHZx0LgzFHyeIZkUydNXq,"Cactus Jack / Epic",3B,https://p.scdn.co/mp3-preview/3af0e983150e1c29e63fa88c8a2bab6cbe24cf7a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851715973050587fe3c93033aad
48,"So Strange (feat. Cuco)","Polyphia,Cuco",55,96,"instrumental rock, bedroom pop, dream pop","Pop, Rock","New Levels New Devils",2018-10-12,04:00,55,89,0,0,48,0,20,-4,C Major,4,2024-01-27,6MYzjR2rH0hfz91FsaR1ox,"Equal Vision Records",8B,https://p.scdn.co/mp3-preview/f7d9983400b87e57c661018c53fd028341120d64?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517a799cc62e624fd6432779e3
49,"Brown Skin Lady","Black Star",51,176,"east coast hip hop, hip hop, political hip hop","Hip Hop","Mos Def & Talib Kweli Are Black Star",1998-09-29,05:46,57,55,56,0,83,60,30,-9,C♯/D♭ Major,4,2024-01-27,3Mz4AoWIedMfzCib1LYwMZ,"Rawkus Entertainment",3B,,https://i.scdn.co/image/ab67616d00004851e3f907e70bc502a263ee1bc0
